,precision,recall,f1-score,support
Real,0.9845345783484097,0.9914781075521598,0.9879941434846267,3403.0
Fake,0.8053691275167785,0.6936416184971098,0.7453416149068323,173.0
accuracy,0.977069351230425,0.977069351230425,0.977069351230425,0.977069351230425
macro avg,0.8949518529325942,0.8425598630246348,0.8666678791957294,3576.0
weighted avg,0.9758668985402799,0.977069351230425,0.9762550810002983,3576.0
