,precision,recall,f1-score,support
0,0.9644987219539903,0.9979429914781075,0.9809358752166378,3403.0
1,0.8727272727272727,0.2774566473988439,0.42105263157894735,173.0
accuracy,0.9630872483221476,0.9630872483221476,0.9630872483221476,0.9630872483221476
macro avg,0.9186129973406315,0.6376998194384758,0.7009942533977926,3576.0
weighted avg,0.9600589958029215,0.9630872483221476,0.9538498010697362,3576.0
